partner_id,name,project_id,project_type,budget,completion_percent,budget_executed
P001,PARTNER01,pr00004,mvp,5850,0.09488507572924067,555.0776930160579
P001,PARTNER01,pr00015,optimization,37280,0.050098678867862095,1867.6787481938989
P001,PARTNER01,pr00022,optimization,29807,0.05670684548633228,1690.2609434111062
P001,PARTNER01,pr00030,mvp,4259,0.9015996088669112,3839.9127341641747
P001,PARTNER01,pr00040,mvp,10255,0.32115246209491377,3293.4184987833405
P001,PARTNER01,pr00051,optimization,14438,0.5128303934259947,7404.245220284512
P001,PARTNER01,pr00064,mvp,5928,0.7196442152031399,4266.050907724213
P001,PARTNER01,pr00067,scaling,313752,0.9769709499911792,306526.58950163244
P001,PARTNER01,pr00071,production,41233,0.7089116152774914,29230.552632736802
P001,PARTNER01,pr00097,production,140128,0.2776559414647136,38907.37176556739
P001,PARTNER01,pr00098,production,79994,0.42806951413779176,34242.99271393851
P001,PARTNER01,pr00129,optimization,31955,0.21488388530320254,6866.614554863837
P001,PARTNER01,pr00161,mvp,9316,0.7562022289114874,7044.779964539416
P001,PARTNER01,pr00168,production,170356,0.23909726752806085,40731.654107010334
P001,PARTNER01,pr00206,optimization,24753,0.2862864675377309,7086.448930961453
P001,PARTNER01,pr00229,optimization,30351,0.5284191763788948,16038.050422275835
P001,PARTNER01,pr00240,optimization,26847,0.9379563667643525,25181.31457852257
P001,PARTNER01,pr00277,scaling,367747,0.8478356667998233,311789.0229586346
P001,PARTNER01,pr00284,scaling,194832,0.10647897525642358,20745.51170715952
P001,PARTNER01,pr00302,production,155571,0.4238040219008863,65931.61549114279
P001,PARTNER01,pr00305,mvp,10618,0.5602988888405738,5949.2536017092125
P001,PARTNER01,pr00316,production,77161,0.8574065177229219,66158.34431401838
P001,PARTNER01,pr00329,scaling,389148,0.9167406674322283,356747.79724991677
P001,PARTNER01,pr00355,mvp,12791,0.973451622982864,12451.419709573815
P001,PARTNER01,pr00364,optimization,30189,0.5479602056597915,16542.370648663447
P001,PARTNER01,pr00365,mvp,5852,0.9813237640862709,5742.706667432857
P001,PARTNER01,pr00374,production,87784,0.031094974276175507,2729.6412218597907
P001,PARTNER01,pr00389,production,120120,0.6176011945880455,74186.25549391603
P001,PARTNER01,pr00391,production,80780,0.32603446859611396,26337.064373194087
P001,PARTNER01,pr00393,scaling,443436,0.776897233077799,344504.2014470869
P001,PARTNER01,pr00416,scaling,270165,0.20080490839735574,54250.458077171614
P001,PARTNER01,pr00423,scaling,385396,0.8422522860058623,324600.66201751534
P001,PARTNER01,pr00429,scaling,327589,0.3122235526282482,102281.0013819352
P001,PARTNER01,pr00438,optimization,31321,0.9330874355545586,29225.231569004332
P001,PARTNER01,pr00442,production,105835,0.16072273641736315,17010.090808731627
P001,PARTNER01,pr00446,scaling,275806,0.16478373003019667,45448.34144470842
P001,PARTNER01,pr00447,production,52523,0.9609416776789881,50471.53973673349
P001,PARTNER01,pr00449,production,160853,0.4252483342081257,68402.47030237965
P001,PARTNER01,pr00452,production,65176,0.4593114912178673,29936.08575161572
P001,PARTNER01,pr00457,production,81729,0.2430919856753706,19867.664897262363
P001,PARTNER01,pr00466,production,184314,0.6574014310303338,121168.28735892494
P001,PARTNER01,pr00469,optimization,43642,0.9622080090633829,41992.68193154415
P001,PARTNER01,pr00470,optimization,17787,0.34161819710352603,6076.3628718804175
P001,PARTNER01,pr00472,optimization,40693,0.9819555564306425,39958.717457832136
P001,PARTNER01,pr00501,mvp,2464,0.8594208234482892,2117.6129089765845
P001,PARTNER01,pr00507,optimization,28050,0.853259863027318,23933.93915791627
P001,PARTNER01,pr00525,optimization,28790,0.7887812066412764,22709.010939202348
P001,PARTNER01,pr00541,scaling,319118,0.4698855016589272,149948.92151839353
P001,PARTNER01,pr00549,optimization,26194,0.39102584411141866,10242.5309606545
P001,PARTNER01,pr00564,optimization,32770,0.981001728005045,32147.426626725326
P001,PARTNER01,pr00565,mvp,11430,0.798391478790451,9125.614602574855
P001,PARTNER01,pr00570,mvp,13789,0.601623244094651,8295.782912821142
P001,PARTNER01,pr00586,production,180541,0.9638969355361136,174022.91663862547
